"state", "width", "height"
"Alabama", "255", "404"
"Alaska", "440", "297"
"Arizona", "343", "406"
"Arkansas", "411", "364"
"California", "355", "416"
"Colorado", "465", "342"
"Connecticut", "463", "347"
"Delaware", "180", "407"
"Florida", "464", "385"
"Georgia", "379", "414"
"Hawaii", "305", "265"
"Idaho", "259", "413"
"Illinois", "232", "413"
"Indiana", "263", "415"
"Iowa", "446", "292"
"Kansas", "469", "248"
"Kentucky", "470", "220"
"Louisiana", "418", "375"
"Maine", "267", "406"
"Maryland", "280", "456"
"Massachusetts", "462", "279"
"Michigan", "399", "415"
"Minnesota", "360", "408"
"Mississippi", "248", "417"
"Missouri", "445", "388"
"Montana", "478", "283"
"Nebraska", "481", "223"
"Nevada", "271", "408"
"New Hampshire", "193", "389"
"New Jersey", "187", "410"
"New Mexico", "340", "384"
"New York", "468", "363"
"North Carolina", "479", "192"
"North Dakota", "467", "281"
"Ohio", "376", "415"
"Oklahoma", "478", "233"
"Oregon", "477", "354"
"Pennsylvania", "472", "273"
"Rhode Island", "1057", "1600"
"South Carolina", "467", "350"
"South Dakota", "463", "289"
"Tennessee", "488", "133"
"Texas", "441", "416"
"Utah", "333", "421"
"Vermont", "241", "399"
"Virginia", "1119", "487"
"Washington", "456", "307"
"West Virginia", "458", "422"
"Wisconsin", "380", "399"
"Wyoming", "467", "360"
"District of Columbia", "489", "607"
