Jefferson, 242.8203932644146, 79.40018107741088
Fayette, 308, 88
Kenton, 302, 18
Boone, 290, 16
Warren, 194.9400511563465, 178.46159649916993
Hardin, 223.767185335181, 120.00905387052991
Daviess, 153.39616860279227, 117.19556360344049
Campbell, 312, 19
Madison, 321, 110
Bullitt, 232, 97.41813792062759
Christian, 128.1567728871366, 186.7111815301042
Oldham, 243, 61
McCracken, 42, 177
Pulaski, 310.56165405520585, 169.30737890448137
Laurel, 336, 160
Pike, 443, 124
Scott, 301, 69
Jessamine, 302, 102
Franklin, 280, 74
Shelby, 262, 76
Boyd, 420, 55
Nelson, 244, 111
Henderson, 122.98491953533019, 111.88395955937833
Hopkins, 125.00106575722015, 152.30194658216402
Barren, 225.62679846530943, 180.785423268447
Calloway, 79.20574443141857, 209.3850912931942
Graves, 55.47532772034504, 200.9114229666513
Whitley, 337.61057231162715, 198.00663950505506
Clark, 328, 92
Floyd, 420, 118
Greenup, 403, 40
Knox, 353, 174
Marshall, 68, 187
Muhlenberg, 149.97122455504655, 160.02037120869153
Boyle, 283, 124
Meade, 203, 101
Montgomery, 343, 86
Logan, 166.44476713204713, 189.57446808510656
Carter, 400, 59
Woodford, 292, 87
Bell, 365, 189
Grayson, 199.94284876905002, 139.68688697751628
Harlan, 393, 178
Perry, 392, 141
Taylor, 263.5641585846746, 147.521502942508
Grant, 299, 40
Rowan, 375, 72
Lincoln, 305.32718746669536, 140.13505356873418
Ohio, 168.32316423318758, 138.2427946280367
Anderson, 277, 91
Johnson, 413, 96
Letcher, 414, 153
Mercer, 291.953000106576, 110.62245359891357
Allen, 209.55398060321872, 198.57929681605566
Wayne, 294.8206863476503, 194.4213067753132
Breckinridge, 194.59567835447092, 113.75961973743753
Clay, 364.5655707129919, 164.67632412856483
Bourbon, 326, 74
Adair, 266.51324203346496, 169.2907801418437
Marion, 267.20824896088686, 132.0763543081332
Spencer, 253, 91
Hart, 228.6948470638391, 153.04059151954115
Harrison, 315, 56
Simpson, 185.0158531386547, 199.3511392787081
Russell, 276, 173
Garrard, 313.0348769050409, 124.8475931794174
McCreary, 316.38468506874125, 199.74950958201302
Mason, 348, 41
Rockcastle, 326.91623148246805, 147.62939489965305
Henry, 266, 59
Casey, 288.57188532452324, 151.1815301041196
Lawrence, 418, 79
Knott, 407, 134
Pendleton, 314, 36
Union, 99.66775018650704, 123.28730949147425
Trigg, 104.18216455291474, 193.9980383280521
Fleming, 365.698870297346, 64.22061264523921
Larue, 233, 128
Estill, 343, 115
Jackson, 346.33885750826, 143.08963331824333
Lewis, 373, 44
Morgan, 383, 94
Webster, 116.0912021741449, 134.90644333786025
Breathitt, 383, 124
Butler, 172, 157
Caldwell, 97, 168
Bath, 355, 77
Magoffin, 406, 115
Todd, 143, 192
Powell, 350, 102
Edmonson, 206.5360225940527, 160.60132790101125
Washington, 273.14398380048993, 115.40289723856957
Martin, 432, 99
Green, 249.4573963551102, 156.01177003168857
Owen, 285, 53
Carroll, 267, 41
Monroe, 239.22639347756595, 201.81605553040558
Clinton, 275.5671160609613, 200.54625018862225
Leslie, 384, 162
Metcalfe, 244.69252904188437, 178.71887732005447
McLean, 142.35745497175756, 134.0101101554245
Livingston, 68, 163
Crittenden, 90.16306085473715, 148.65851818319004
Gallatin, 279, 34
Hancock, 165, 111
Trimble, 251, 47
Bracken, 331, 34
Lyon, 84, 178
Ballard, 26, 176
Elliott, 393, 77
Nicholas, 336, 62
Wolfe, 372, 107
Lee, 361, 119 
Cumberland, 259.7635351167008, 195.64131582918355
Menifee, 364, 93
Fulton, 21.90211019929672, 214.94567677682178
Carlisle, 29, 192
Hickman, 31, 204
Owsley, 358, 134
Robertson, 334, 47
