"id", "name", "min_lat", "max_lat", "min_lng", "max_lng"
"AK", "Alaska", "52.5964", "71.5232", "-169.9146", "-129.993"
"AL", "Alabama", "30.1463", "35.0041", "-88.4743", "-84.8927"
"AR", "Arkansas", "33.0075", "36.4997", "-94.6198", "-89.6594"
"AZ", "Arizona", "31.3325", "37.0004", "-114.8126", "-109.0475"
