Traditional/Muni,Municipality Code,ED Total Votes,Kennedy/Johnson,Nixon/Lodge,TPCTKennedy,TPCTNixon,T60Wincode,R-D,PVI
Ketchikan Gateway,Ketchikan,3640.070601,1728.993151,1911.07745,0.474988906,0.525011094,0.525011094,0.050022189,0.031194632
Prince of Wales-Hyder,Prince of Wales-Hyder,1039.081041,566.4913854,472.5896553,0.545184989,0.454815011,2.545184989,-0.090369977,-0.109197534
Sitka,Sitka,2121.723563,1139.202297,982.5212666,0.536923055,0.463076945,2.536923055,-0.073846109,-0.092673666
Petersburg,Petersburg,745.676994,355.0927835,390.5842105,0.476201876,0.523798124,0.523798124,0.047596248,0.028768691
Wrangell,Wrangell,645.7029436,285.4226804,360.2802632,0.442034039,0.557965961,0.557965961,0.115931921,0.097104364
Hoonah-Angoon,Hoonah-Angoon,646.919189,345.9481734,300.9710156,0.534762578,0.465237422,2.534762578,-0.069525156,-0.088352713
Juneau,Juneau,4435,2105,2330,0.474633596,0.525366404,0.525366404,0.050732807,0.031905251
Copper River,CR,370.4121931,201.2727273,169.1394659,0.543375005,0.456624995,2.543375005,-0.08675001,-0.105577567
Chugach,CG,1050.587807,526.7272727,523.8605341,0.50136435,0.49863565,2.50136435,-0.0027287,-0.021556256
Haines,Haines,277.0520777,123.7852665,153.2668113,0.446794218,0.553205782,0.553205782,0.106411564,0.087584007
Skagway,Skagway,318.9086829,220.0626959,98.84598698,0.690049245,0.309950755,2.690049245,-0.38009849,-0.398926047
Yakutat,Yakutat,131.864908,73.0015674,58.86334056,0.553608754,0.446391246,2.553608754,-0.107217508,-0.126045065
Yukon-Koyukuk,YK,2154.635679,1086.000233,1068.635445,0.504029634,0.495970366,2.504029634,-0.008059269,-0.026886825
Bethel,Bethel,1167.051129,381.186722,785.8644068,0.326623841,0.673376159,0.673376159,0.346752319,0.327924762
Southeast Fairbanks,SE Fairbanks,662.2424731,297.2893179,364.9531552,0.448913095,0.551086905,0.551086905,0.102173811,0.083346254
Wade Hampton,Wade-Hampton,442,291,151,0.658371041,0.341628959,2.658371041,-0.316742081,-0.335569638
Kenai Peninsula,Kenai,3327,1754,1573,0.527201683,0.472798317,2.527201683,-0.054403366,-0.073230923
Fairbanks North Star,Fairbanks,7887.304893,4067.580609,3819.724285,0.515712358,0.484287642,2.515712358,-0.031424717,-0.050252274
Denali,Denali,175.6409889,108.5020243,67.13896458,0.617748881,0.382251119,2.617748881,-0.235497762,-0.254325318
Matanuska-Susitna,Mat-Su,2207,1054,1153,0.477571364,0.522428636,0.522428636,0.044857272,0.026029716
Anchorage,Anchorage,20700,9581,11119,0.462850242,0.537149758,0.537149758,0.074299517,0.05547196
Kodiak Island,Kodiak,1498,867,631,0.578771696,0.421228304,2.578771696,-0.157543391,-0.176370948
Lake and Peninsula,Lake and Peninsula,332.4201099,211.4881877,120.9319222,0.636207562,0.363792438,2.636207562,-0.272415124,-0.291242681
Aleutians East,Aleutians East,240.2318068,168.6044776,71.62732919,0.701840776,0.298159224,2.701840776,-0.403681551,-0.422509108
Dillingham,Dillingham,467.7168616,275.5984405,192.1184211,0.589242046,0.410757954,2.589242046,-0.178484092,-0.197311649
Aleutians West,Aleutians West,314.9177714,224.8059701,90.11180124,0.713856094,0.286143906,2.713856094,-0.427712188,-0.446539744
Bristol Bay,Bristol Bay,279.7134503,196.502924,83.21052632,0.702515105,0.297484895,2.702515105,-0.405030211,-0.423857767
Nome,Nome,1799,791,1008,0.439688716,0.560311284,0.560311284,0.120622568,0.101795011
Northwest Arctic,NW Arctic,802.3940451,249.1399317,553.2541133,0.310495739,0.689504261,0.689504261,0.379008523,0.360180966
North Slope,North Slope,881.7307918,533.3011618,348.42963,0.604834454,0.395165546,2.604834454,-0.209668908,-0.228496464
Total,Total,60762,29809,30953,0.490586222,0.509413778,0.509413778,0.018827557,0
