Traditional/Muni,Municipality Code,ED Total Votes,Johnson,Goldwater,TPCTJohnson,TPCTGoldwater,T64Wincode,R-D,PVI
Ketchikan Gateway,Ketchikan,3641.779463,2274.886889,1366.892574,0.62466355,0.37533645,2.62466355,-0.249327101,0.068831064
Prince of Wales-Hyder,Prince of Wales-Hyder,1143.114352,922.5223897,220.5919622,0.807025464,0.192974536,2.807025464,-0.614050927,-0.295892762
Sitka,Sitka,2199.466636,1569.39557,630.071066,0.713534611,0.286465389,2.713534611,-0.427069221,-0.108911057
Petersburg,Petersburg,946.0914254,727.2460646,218.8453608,0.768684765,0.231315235,2.768684765,-0.537369529,-0.219211364
Wrangell,Wrangell,706.0147593,494.3446562,211.6701031,0.700190258,0.299809742,2.700190258,-0.400380515,-0.082222351
Hoonah-Angoon,Hoonah-Angoon,692.7758359,605.0152188,87.76061718,0.873320326,0.126679674,2.873320326,-0.746640652,-0.428482487
Juneau,Juneau,5307,3762,1545,0.708875071,0.291124929,2.708875071,-0.417750141,-0.099591977
Copper River,CR,502.7737691,319.1447368,183.6290323,0.634768074,0.365231926,2.634768074,-0.269536147,0.048622018
Chugach,CG,982.2262309,670.8552632,311.3709677,0.682994652,0.317005348,2.682994652,-0.365989305,-0.04783114
Haines,Haines,320.8726429,245.3775934,75.4950495,0.764719582,0.235280418,2.764719582,-0.529439164,-0.211281
Skagway,Skagway,337.3041781,261.8091286,75.4950495,0.776181102,0.223818898,2.776181102,-0.552362204,-0.234204039
Yakutat,Yakutat,151.5807074,119.4024896,32.17821782,0.787715611,0.212284389,2.787715611,-0.575431223,-0.257273058
Yukon-Koyukuk,YK,2484.255361,1749.988192,734.2671698,0.704431686,0.295568314,2.704431686,-0.408863371,-0.090705206
Bethel,Bethel,1905.60147,1649.13323,256.4682396,0.865413496,0.134586504,2.865413496,-0.730826992,-0.412668828
Southeast Fairbanks,SE Fairbanks,789.8221089,531.5018063,258.3203026,0.672938628,0.327061372,2.672938628,-0.345877256,-0.027719091
Wade Hampton,Wade-Hampton,712,635,77,0.891853933,0.108146067,2.891853933,-0.783707865,-0.4655497
Kenai Peninsula,Kenai,3565,2301,1264,0.645441795,0.354558205,2.645441795,-0.29088359,0.027274574
Fairbanks North Star,Fairbanks,8335.615377,4809.981077,3525.6343,0.57703971,0.42296029,2.57703971,-0.154079419,0.164078745
Denali,Denali,552.8220699,311.0797831,241.7422868,0.562712308,0.437287692,2.562712308,-0.125424617,0.192733548
Matanuska-Susitna,Mat-Su,2205,1242,963,0.563265306,0.436734694,2.563265306,-0.126530612,0.191627552
Anchorage,Anchorage,22588,13537,9051,0.599300514,0.400699486,2.599300514,-0.198601027,0.119557138
Kodiak Island,Kodiak,1582,1183,399,0.747787611,0.252212389,2.747787611,-0.495575221,-0.177417057
Lake and Peninsula,Lake and Peninsula,438.8812039,356.2811157,82.60008818,0.811793972,0.188206028,2.811793972,-0.623587944,-0.305429779
Aleutians East,Aleutians East,342.0467033,281.1538462,60.89285714,0.821975021,0.178024979,2.821975021,-0.643950042,-0.325791877
Dillingham,Dillingham,672.8938609,516.8691695,156.0246914,0.768128823,0.231871177,2.768128823,-0.536257646,-0.218099482
Aleutians West,Aleutians West,351.5127872,313.8699301,37.64285714,0.892911841,0.107088159,2.892911841,-0.785823683,-0.467665518
Bristol Bay,Bristol Bay,247.6654447,193.8259386,53.83950617,0.782611958,0.217388042,2.782611958,-0.565223915,-0.247065751
Nome,Nome,1737.048515,1326.154206,410.8943089,0.7634526,0.2365474,2.7634526,-0.526905201,-0.208747036
Northwest Arctic,NW Arctic,786.3089019,629.6030195,156.7058824,0.800706972,0.199293028,2.800706972,-0.601413943,-0.283255778
North Slope,North Slope,1031.526197,789.558687,241.9675098,0.765427664,0.234572336,2.765427664,-0.530855328,-0.212697163
Total,Total,67259,44329,22930,0.659079082,0.340920918,2.659079082,-0.318158165,0
