Mitchell, George C Wallace, Dixiecrat, NaN
Avery, Richard M Nixon, Republican, 70.76
Wilkes, George C Wallace, Dixiecrat, NaN
Watauga, George C Wallace, Dixiecrat, NaN
Ashe, George C Wallace, Dixiecrat, NaN
Clay, George C Wallace, Dixiecrat, NaN
Graham, George C Wallace, Dixiecrat, NaN
Cherokee, George C Wallace, Dixiecrat, NaN
Yadkin, Richard M Nixon, Republican, 60.51
Jackson, George C Wallace, Dixiecrat, NaN
Catawba, Richard M Nixon, Republican, 56.33
Mecklenburg, George C Wallace, Dixiecrat, NaN
Henderson, Richard M Nixon, Republican, 57.45
Madison, George C Wallace, Dixiecrat, NaN
Macon, George C Wallace, Dixiecrat, NaN
Yancey, George C Wallace, Dixiecrat, NaN
Surry, George C Wallace, Dixiecrat, NaN
Swain, George C Wallace, Dixiecrat, NaN
Cabarrus, Richard M Nixon, Republican, 52.35
Caldwell, Richard M Nixon, Republican, 51.46
Alexander, Richard M Nixon, Republican, 52.03
Stanly, Richard M Nixon, Republican, 51.43
Randolph, Richard M Nixon, Republican, 52.35
Forsyth, George C Wallace, Dixiecrat, NaN
Burke, Richard M Nixon, Republican, 48.84
Guilford, George C Wallace, Dixiecrat, NaN
Lincoln, George C Wallace, Dixiecrat, NaN
Alleghany, George C Wallace, Dixiecrat, NaN
Rutherford, George C Wallace, Dixiecrat, NaN
Transylvania, Richard M Nixon, Republican, 46.85
Buncombe, George C Wallace, Dixiecrat, NaN
Polk, George C Wallace, Dixiecrat, NaN
Rowan, Richard M Nixon, Republican, 46.79
Wake, George C Wallace, Dixiecrat, NaN
Davie, Richard M Nixon, Republican, 49.04
Moore, George C Wallace, Dixiecrat, NaN
McDowell, Richard M Nixon, Republican, 46.01
Haywood, George C Wallace, Dixiecrat, NaN
Davidson, Richard M Nixon, Republican, 46.57
Carteret, George C Wallace, Dixiecrat, NaN
Sampson, George C Wallace, Dixiecrat, NaN
Stokes, Richard M Nixon, Republican, 45.25
Orange, George C Wallace, Dixiecrat, NaN
Gaston, Richard M Nixon, Republican, 43.77
Montgomery, George C Wallace, Dixiecrat, NaN
Dare, Richard M Nixon, Republican, 40.13
Iredell, Richard M Nixon, Republican, 43.17
Chatham, George C Wallace, Dixiecrat, NaN
Union, Richard M Nixon, Republican, 38.67
New Hanover, Richard M Nixon, Republican, 37.03
Cumberland, George C Wallace, Dixiecrat, NaN
Durham, George C Wallace, Dixiecrat, NaN
Alamance, George C Wallace, Dixiecrat, 39
Scotland, George C Wallace, Dixiecrat, NaN
Rockingham, George C Wallace, Dixiecrat, 38.54
Harnett, George C Wallace, Dixiecrat, 41.54
Tyrrell, George C Wallace, Dixiecrat, NaN
Robeson, George C Wallace, Dixiecrat, NaN
Cleveland, George C Wallace, Dixiecrat, 42.68
Brunswick, George C Wallace, Dixiecrat, NaN
Johnston, George C Wallace, Dixiecrat, 45.01
Lee, George C Wallace, Dixiecrat, 42.07
Pitt, George C Wallace, Dixiecrat, NaN
Wayne, George C Wallace, Dixiecrat, 44.15
Hoke, George C Wallace, Dixiecrat, NaN
Hertford, George C Wallace, Dixiecrat, NaN
Onslow, George C Wallace, Dixiecrat, 45.18
Washington, George C Wallace, Dixiecrat, NaN
Edgecombe, George C Wallace, Dixiecrat, NaN
Columbus, George C Wallace, Dixiecrat, NaN
Pamlico, George C Wallace, Dixiecrat, NaN
Richmond, George C Wallace, Dixiecrat, NaN
Hyde, George C Wallace, Dixiecrat, NaN
Person, George C Wallace, Dixiecrat, NaN
Wilson, George C Wallace, Dixiecrat, NaN
Nash, George C Wallace, Dixiecrat, NaN
Chowan, George C Wallace, Dixiecrat, NaN
Craven, George C Wallace, Dixiecrat, NaN
Bladen, George C Wallace, Dixiecrat, NaN
Beaufort, George C Wallace, Dixiecrat, NaN
Halifax, George C Wallace, Dixiecrat, NaN
Granville, George C Wallace, Dixiecrat, NaN
Anson, George C Wallace, Dixiecrat, NaN
Vance, George C Wallace, Dixiecrat, NaN
Lenoir, George C Wallace, Dixiecrat, NaN
Northampton, George C Wallace, Dixiecrat, NaN
Duplin, George C Wallace, Dixiecrat, NaN
Warren, George C Wallace, Dixiecrat, NaN
Pasquotank, George C Wallace, Dixiecrat, NaN
Gates, George C Wallace, Dixiecrat, NaN
Caswell, George C Wallace, Dixiecrat, NaN
Pender, George C Wallace, Dixiecrat, NaN
Martin, George C Wallace, Dixiecrat, NaN
Bertie, George C Wallace, Dixiecrat, NaN
Perquimans, George C Wallace, Dixiecrat, NaN
Jones, George C Wallace, Dixiecrat, NaN
Franklin, George C Wallace, Dixiecrat, NaN
Currituck, George C Wallace, Dixiecrat, NaN
Greene, George C Wallace, Dixiecrat, NaN
Camden, George C Wallace, Dixiecrat, NaN
