0, Warren G Harding, Republican, 0
Valencia, Warren G Harding, Republican, 2839
Doña Ana, Warren G Harding, Republican, 2627
Rio Arriba, Warren G Harding, Republican, 3986
Taos, Warren G Harding, Republican, 2519
Santa Fe, Warren G Harding, Republican, 3060
Socorro, Warren G Harding, Republican, 3150
Torrance, Warren G Harding, Republican, 1751
McKinley, Warren G Harding, Republican, 1525
San Miguel, Warren G Harding, Republican, 5535
Lincoln, Warren G Harding, Republican, 1456
Sandoval, Warren G Harding, Republican, 1194
Sierra, Warren G Harding, Republican, 862
Guadalupe, Warren G Harding, Republican, 1599
Union, Warren G Harding, Republican, 2930
Colfax, Warren G Harding, Republican, 3351
Grant, Warren G Harding, Republican, 2230
San Juan, Warren G Harding, Republican, 985
Mora, Warren G Harding, Republican, 2478
Otero, Warren G Harding, Republican, 1229
Bernalillo, Warren G Harding, Republican, 4969
Chaves, James M Cox, Democrat, 2080
Luna, James M Cox, Democrat, 1000
Hidalgo, James M Cox, Democrat, 551
Quay, James M Cox, Democrat, 1813
Eddy, James M Cox, Democrat, 1611
De Baca, James M Cox, Democrat, 693
Roosevelt, James M Cox, Democrat, 1178
Curry, James M Cox, Democrat, 2143
Lea, James M Cox, Democrat, 733
