#, James M Cox, Democrat, 0
Autauga, James M Cox, Democrat, 918
Baldwin, James M Cox, Democrat, 1230
Barbour, James M Cox, Democrat, 1568
Bibb, James M Cox, Democrat, 1643
Blount, James M Cox, Democrat, 3535
Bullock, James M Cox, Democrat, 877
Butler, James M Cox, Democrat, 1299
Calhoun, James M Cox, Democrat, 3423
Chambers, James M Cox, Democrat, 1994
Cherokee, James M Cox, Democrat, 1969
Chilton, Warren G Harding, Republican, 2273
Choctaw, James M Cox, Democrat, 1071
Clarke, James M Cox, Democrat, 1253
Clay, James M Cox, Democrat, 2165
Cleburne, Warren G Harding, Republican, 971
Coffee, James M Cox, Democrat, 1721
Colbert, James M Cox, Democrat, 1869
Conecuh, James M Cox, Democrat, 1315
Coosa, James M Cox, Democrat, 1007
Covington, James M Cox, Democrat, 2039
Crenshaw, James M Cox, Democrat, 1411
Cullman, Warren G Harding, Republican, 3492
Dale, James M Cox, Democrat, 1386
Dallas, James M Cox, Democrat, 2702
DeKalb, Warren G Harding, Republican, 4852
Elmore, James M Cox, Democrat, 1762
Escambia, James M Cox, Democrat, 1455
Etowah, James M Cox, Democrat, 5917
Fayette, Warren G Harding, Republican, 1865
Franklin, Warren G Harding, Republican, 2930
Geneva, James M Cox, Democrat, 1488
Greene, James M Cox, Democrat, 520
Hale, James M Cox, Democrat, 953
Henry, James M Cox, Democrat, 715
Houston, James M Cox, Democrat, 2045
Jackson, James M Cox, Democrat, 2513
Jefferson, James M Cox, Democrat, 24982
Lamar, James M Cox, Democrat, 1628
Lauderdale, James M Cox, Democrat, 2644
Lawrence, James M Cox, Democrat, 935
Lee, James M Cox, Democrat, 1620
Limestone, James M Cox, Democrat, 1812
Lowndes, James M Cox, Democrat, 727
Macon, James M Cox, Democrat, 693
Madison, James M Cox, Democrat, 2822
Marengo, James M Cox, Democrat, 1370
Marion, James M Cox, Democrat, 2461
Marshall, James M Cox, Democrat, 4041
Mobile, James M Cox, Democrat, 6171
Monroe, James M Cox, Democrat, 1295
Montgomery, James M Cox, Democrat, 6411
Morgan, James M Cox, Democrat, 4057
Perry, James M Cox, Democrat, 1195
Pickens, James M Cox, Democrat, 1419
Pike, James M Cox, Democrat, 1586
Randolph, James M Cox, Democrat, 1357
Russell, Eugene V Debs, Progressive, NaN
St. Clair, Warren G Harding, Republican, 2561
Shelby, Warren G Harding, Republican, 3235
Sumter, James M Cox, Democrat, 1088
Talladega, James M Cox, Democrat, 2137
Tallapoosa, James M Cox, Democrat, 2257
Tuscaloosa, James M Cox, Democrat, 3438
Walker, James M Cox, Democrat, 4703
Washington, James M Cox, Democrat, 575
Wilcox, James M Cox, Democrat, 1099
Winston, Warren G Harding, Republican, 2307
