#, Warren G Harding, Republican, 0
Albany, Warren G Harding, Republican, 48750
Allegany, Warren G Harding, Republican, 10898
Bronx, Warren G Harding, Republican, 106050
Broome, Warren G Harding, Republican, 24759
Cattaraugus, Warren G Harding, Republican, 16083
Cayuga, Warren G Harding, Republican, 15234
Chautauqua, Warren G Harding, Republican, 27618
Chemung, Warren G Harding, Republican, 17864
Chenango, Warren G Harding, Republican, 10116
Clinton, Warren G Harding, Republican, 9062
Columbia, Warren G Harding, Republican, 9284
Cortland, Warren G Harding, Republican, 9606
Delaware, Warren G Harding, Republican, 11719
Dutchess, Warren G Harding, Republican, 21152
Erie, Warren G Harding, Republican, 99762
Essex, Warren G Harding, Republican, 8042
Franklin, Warren G Harding, Republican, 9786
Fulton, Warren G Harding, Republican, 10946
Genesee, Warren G Harding, Republican, 9628
Greene, Warren G Harding, Republican, 6323
Hamilton, Warren G Harding, Republican, 881
Herkimer, Warren G Harding, Republican, 14310
Jefferson, Warren G Harding, Republican, 22072
Kings, Warren G Harding, Republican, 292692
Lewis, Warren G Harding, Republican, 5906
Livingston, Warren G Harding, Republican, 9488
Madison, Warren G Harding, Republican, 11094
Monroe, Warren G Harding, Republican, 73809
Montgomery, Warren G Harding, Republican, 12835
Nassau, Warren G Harding, Republican, 33099
New York, Warren G Harding, Republican, 275013
Niagara, Warren G Harding, Republican, 21193
Oneida, Warren G Harding, Republican, 36311
Onondaga, Warren G Harding, Republican, 57008
Ontario, Warren G Harding, Republican, 13361
Orange, Warren G Harding, Republican, 24558
Orleans, Warren G Harding, Republican, 8305
Oswego, Warren G Harding, Republican, 17905
Otsego, Warren G Harding, Republican, 12112
Putnam, Warren G Harding, Republican, 3447
Queens, Warren G Harding, Republican, 94360
Rensselaer, Warren G Harding, Republican, 28810
Richmond, Warren G Harding, Republican, 17844
Rockland, Warren G Harding, Republican, 11169
Saratoga, Warren G Harding, Republican, 16222
Schenectady, Warren G Harding, Republican, 19208
Schoharie, Warren G Harding, Republican, 5572
Schuyler, Warren G Harding, Republican, 3827
Seneca, Warren G Harding, Republican, 6260
St. Lawrence, Warren G Harding, Republican, 24651
Steuben, Warren G Harding, Republican, 18335
Suffolk, Warren G Harding, Republican, 26737
Sullivan, Warren G Harding, Republican, 8029
Tioga, Warren G Harding, Republican, 6772
Tompkins, Warren G Harding, Republican, 9508
Ulster, Warren G Harding, Republican, 19001
Warren, Warren G Harding, Republican, 9009
Washington, Warren G Harding, Republican, 13647
Wayne, Warren G Harding, Republican, 13333
Westchester, Warren G Harding, Republican, 76020
Wyoming, Warren G Harding, Republican, 9134
Yates, Warren G Harding, Republican, 5638
