#, Warren G Harding, Republican, 0
Atlantic, Warren G Harding, Republican, 21245
Bergen, Warren G Harding, Republican, 47512
Burlington, Warren G Harding, Republican, 17898
Camden, Warren G Harding, Republican, 40771
Cape May, Warren G Harding, Republican, 5785
Cumberland, Warren G Harding, Republican, 11913
Essex, Warren G Harding, Republican, 116168
Gloucester, Warren G Harding, Republican, 11693
Hudson, Warren G Harding, Republican, 101759
Hunterdon, Warren G Harding, Republican, 7443
Mercer, Warren G Harding, Republican, 29626
Middlesex, Warren G Harding, Republican, 29334
Monmouth, Warren G Harding, Republican, 28818
Morris, Warren G Harding, Republican, 20686
Ocean, Warren G Harding, Republican, 6840
Passaic, Warren G Harding, Republican, 42692
Salem, Warren G Harding, Republican, 7638
Somerset, Warren G Harding, Republican, 10962
Sussex, Warren G Harding, Republican, 5224
Union, Warren G Harding, Republican, 39409
Warren, Warren G Harding, Republican, 8035
