#, Warren G Harding, Republican, 0
Adair, Warren G Harding, Republican, 4861
Andrew, Warren G Harding, Republican, 3913
Atchison, Warren G Harding, Republican, 3236
Audrain, James M Cox, Democrat, 5514
Barry, Warren G Harding, Republican, 5162
Barton, Warren G Harding, Republican, 3480
Bates, Warren G Harding, Republican, 5039
Benton, Warren G Harding, Republican, 3367
Bollinger, Warren G Harding, Republican, 2869
Boone, James M Cox, Democrat, 8748
Buchanan, Warren G Harding, Republican, 17191
Butler, Warren G Harding, Republican, 4601
Caldwell, Warren G Harding, Republican, 4168
Callaway, James M Cox, Democrat, 6035
Camden, Warren G Harding, Republican, 2276
Cape Girardeau, Warren G Harding, Republican, 7537
Carroll, Warren G Harding, Republican, 5609
Carter, Warren G Harding, Republican, 1057
Cass, James M Cox, Democrat, 5030
Cedar, Warren G Harding, Republican, 3488
Chariton, James M Cox, Democrat, 4675
Christian, Warren G Harding, Republican, 3795
Clark, Warren G Harding, Republican, 3310
Clay, James M Cox, Democrat, 6283
Clinton, James M Cox, Democrat, 3304
Cole, Warren G Harding, Republican, 5878
Cooper, Warren G Harding, Republican, 5151
Crawford, Warren G Harding, Republican, 2634
Dade, Warren G Harding, Republican, 3520
Dallas, Warren G Harding, Republican, 2665
Daviess, Warren G Harding, Republican, 4458
DeKalb, Warren G Harding, Republican, 3001
Dent, Warren G Harding, Republican, 2204
Douglas, Warren G Harding, Republican, 3327
Dunklin, James M Cox, Democrat, 5199
Franklin, Warren G Harding, Republican, 8712
Gasconade, Warren G Harding, Republican, 4481
Gentry, Warren G Harding, Republican, 3442
Greene, Warren G Harding, Republican, 15755
Grundy, Warren G Harding, Republican, 5123
Harrison, Warren G Harding, Republican, 5151
Henry, James M Cox, Democrat, 5367
Hickory, Warren G Harding, Republican, 2131
Holt, Warren G Harding, Republican, 4153
Howard, James M Cox, Democrat, 4735
Howell, Warren G Harding, Republican, 4344
Iron, James M Cox, Democrat, 1554
Jackson, Warren G Harding, Republican, 79875
Jasper, Warren G Harding, Republican, 17074
Jefferson, Warren G Harding, Republican, 5730
Johnson, Warren G Harding, Republican, 5700
Knox, Warren G Harding, Republican, 2749
Laclede, Warren G Harding, Republican, 3469
Lafayette, Warren G Harding, Republican, 7471
Lawrence, Warren G Harding, Republican, 6093
Lewis, James M Cox, Democrat, 3542
Lincoln, James M Cox, Democrat, 3660
Linn, Warren G Harding, Republican, 5557
Livingston, Warren G Harding, Republican, 5093
Macon, Warren G Harding, Republican, 6309
Madison, Warren G Harding, Republican, 2023
Maries, James M Cox, Democrat, 1677
Marion, James M Cox, Democrat, 6719
McDonald, Warren G Harding, Republican, 2921
Mercer, Warren G Harding, Republican, 3170
Miller, Warren G Harding, Republican, 3555
Mississippi, James M Cox, Democrat, 2442
Moniteau, Warren G Harding, Republican, 3535
Monroe, James M Cox, Democrat, 6136
Montgomery, Warren G Harding, Republican, 3910
Morgan, Warren G Harding, Republican, 2911
New Madrid, Warren G Harding, Republican, 3745
Newton, Warren G Harding, Republican, 5541
Nodaway, Warren G Harding, Republican, 6971
Oregon, James M Cox, Democrat, 1961
Osage, Warren G Harding, Republican, 3699
Ozark, Warren G Harding, Republican, 2457
Pemiscot, Warren G Harding, Republican, 4443
Perry, Warren G Harding, Republican, 3652
Pettis, Warren G Harding, Republican, 8595
Phelps, Warren G Harding, Republican, 2692
Pike, James M Cox, Democrat, 5034
Platte, James M Cox, Democrat, 4361
Polk, Warren G Harding, Republican, 4967
Pulaski, James M Cox, Democrat, 1978
Putnam, Warren G Harding, Republican, 3880
Ralls, James M Cox, Democrat, 2803
Randolph, James M Cox, Democrat, 8115
Ray, James M Cox, Democrat, 4865
Reynolds, James M Cox, Democrat, 1837
Ripley, Warren G Harding, Republican, 1752
Saint Charles, Warren G Harding, Republican, 6645
Saint Clair, Warren G Harding, Republican, 3249
Saint Francois, Warren G Harding, Republican, 5504
Saint Louis County, Warren G Harding, Republican, 25008
Saint Louis City, Warren G Harding, Republican, 163280
Sainte Genevieve, Warren G Harding, Republican, 1917
Saline, James M Cox, Democrat, 7114
Schuyler, Warren G Harding, Republican, 1806
Scotland, Warren G Harding, Republican, 2509
Scott, Warren G Harding, Republican, 4204
Shannon, James M Cox, Democrat, 1661
Shelby, James M Cox, Democrat, 3935
Stoddard, Warren G Harding, Republican, 4641
Stone, Warren G Harding, Republican, 2749
Sullivan, Warren G Harding, Republican, 4576
Taney, Warren G Harding, Republican, 2001
Texas, Warren G Harding, Republican, 3552
Vernon, James M Cox, Democrat, 5419
Warren, Warren G Harding, Republican, 3512
Washington, Warren G Harding, Republican, 2618
Wayne, Warren G Harding, Republican, 2380
Webster, Warren G Harding, Republican, 4000
Worth, Warren G Harding, Republican, 1888
Wright, Warren G Harding, Republican, 3661
