#, Warren G Harding, Republican, 0
Adams, Warren G Harding, Republican, 5323
Allegheny, Warren G Harding, Republican, 138908
Armstrong, Warren G Harding, Republican, 8995
Beaver, Warren G Harding, Republican, 11691
Bedford, Warren G Harding, Republican, 5800
Berks, Warren G Harding, Republican, 22221
Blair, Warren G Harding, Republican, 15035
Bradford, Warren G Harding, Republican, 11947
Bucks, Warren G Harding, Republican, 14130
Butler, Warren G Harding, Republican, 10467
Cambria, Warren G Harding, Republican, 19629
Cameron, Warren G Harding, Republican, 1364
Carbon, Warren G Harding, Republican, 7900
Centre, Warren G Harding, Republican, 7615
Chester, Warren G Harding, Republican, 18129
Clarion, Warren G Harding, Republican, 4615
Clearfield, Warren G Harding, Republican, 9615
Clinton, Warren G Harding, Republican, 4303
Columbia, James M Cox, Democrat, 6965
Crawford, Warren G Harding, Republican, 10032
Cumberland, Warren G Harding, Republican, 8579
Dauphin, Warren G Harding, Republican, 26094
Delaware, Warren G Harding, Republican, 34126
Elk, Warren G Harding, Republican, 5267
Erie, Warren G Harding, Republican, 19465
Fayette, Warren G Harding, Republican, 20186
Forest, Warren G Harding, Republican, 993
Franklin, Warren G Harding, Republican, 8376
Fulton, Warren G Harding, Republican, 1292
Greene, James M Cox, Democrat, 5592
Huntingdon, Warren G Harding, Republican, 5232
Indiana, Warren G Harding, Republican, 8616
Jefferson, Warren G Harding, Republican, 7970
Juniata, Warren G Harding, Republican, 2112
Lackawanna, Warren G Harding, Republican, 40593
Lancaster, Warren G Harding, Republican, 29549
Lawrence, Warren G Harding, Republican, 9448
Lebanon, Warren G Harding, Republican, 8778
Lehigh, Warren G Harding, Republican, 18032
Luzerne, Warren G Harding, Republican, 49419
Lycoming, Warren G Harding, Republican, 10570
McKean, Warren G Harding, Republican, 7830
Mercer, Warren G Harding, Republican, 11575
Mifflin, Warren G Harding, Republican, 3872
Monroe, James M Cox, Democrat, 3396
Montgomery, Warren G Harding, Republican, 31963
Montour, Warren G Harding, Republican, 2296
Northampton, Warren G Harding, Republican, 14227
Northumberland, Warren G Harding, Republican, 17288
Perry, Warren G Harding, Republican, 3787
Philadelphia, Warren G Harding, Republican, 307826
Pike, Warren G Harding, Republican, 1319
Potter, Warren G Harding, Republican, 4036
Schuylkill, Warren G Harding, Republican, 30259
Snyder, Warren G Harding, Republican, 2751
Somerset, Warren G Harding, Republican, 12436
Sullivan, Warren G Harding, Republican, 1620
Susquehanna, Warren G Harding, Republican, 6572
Tioga, Warren G Harding, Republican, 9718
Union, Warren G Harding, Republican, 3305
Venango, Warren G Harding, Republican, 7718
Warren, Warren G Harding, Republican, 7791
Washington, Warren G Harding, Republican, 18514
Wayne, Warren G Harding, Republican, 5164
Westmoreland, Warren G Harding, Republican, 27077
Wyoming, Warren G Harding, Republican, 3208
York, Warren G Harding, Republican, 19879
