#, James M Cox, Democrat, 0
Arkansas, Warren G Harding, Republican, 1199
Ashley, James M Cox, Democrat, 1312
Baxter, James M Cox, Democrat, 707
Benton, James M Cox, Democrat, 2838
Boone, James M Cox, Democrat, 1106
Bradley, James M Cox, Democrat, 1146
Calhoun, James M Cox, Democrat, 736
Carroll, James M Cox, Democrat, 1344
Chicot, James M Cox, Democrat, 887
Clark, James M Cox, Democrat, 1507
Clay, James M Cox, Democrat, 1775
Cleburne, James M Cox, Democrat, 678
Cleveland, James M Cox, Democrat, 809
Columbia, James M Cox, Democrat, 2052
Conway, James M Cox, Democrat, 1791
Craighead, James M Cox, Democrat, 2079
Crawford, James M Cox, Democrat, 1861
Crittenden, James M Cox, Democrat, 905
Cross, James M Cox, Democrat, 845
Dallas, James M Cox, Democrat, 1140
Desha, James M Cox, Democrat, 931
Drew, James M Cox, Democrat, 1397
Faulkner, James M Cox, Democrat, 1971
Franklin, James M Cox, Democrat, 1502
Fulton, James M Cox, Democrat, 763
Garland, James M Cox, Democrat, 1670
Grant, James M Cox, Democrat, 619
Greene, James M Cox, Democrat, 1865
Hempstead, James M Cox, Democrat, 2239
Hot Spring, James M Cox, Democrat, 1061
Howard, James M Cox, Democrat, 1452
Independence, James M Cox, Democrat, 1546
Izard, James M Cox, Democrat, 841
Jackson, James M Cox, Democrat, 1575
Jefferson, James M Cox, Democrat, 2670
Johnson, James M Cox, Democrat, 1579
Lafayette, James M Cox, Democrat, 954
Lawrence, James M Cox, Democrat, 1686
Lee, James M Cox, Democrat, 1108
Lincoln, Warren G Harding, Republican, 988
Little River, James M Cox, Democrat, 853
Logan, Warren G Harding, Republican, 1871
Lonoke, James M Cox, Democrat, 1711
Madison, Warren G Harding, Republican, 1715
Marion, James M Cox, Democrat, 744
Miller, James M Cox, Democrat, 1545
Mississippi, James M Cox, Democrat, 1809
Monroe, Warren G Harding, Republican, 912
Montgomery, Warren G Harding, Republican, 615
Nevada, Warren G Harding, Republican, 1292
Newton, Warren G Harding, Republican, 828
Ouachita, James M Cox, Democrat, 1307
Perry, James M Cox, Democrat, 738
Phillips, James M Cox, Democrat, 1965
Pike, Warren G Harding, Republican, 921
Poinsett, James M Cox, Democrat, 1201
Polk, James M Cox, Democrat, 1208
Pope, James M Cox, Democrat, 2082
Prairie, James M Cox, Democrat, 962
Pulaski, James M Cox, Democrat, 6506
Randolph, James M Cox, Democrat, 1412
St. Francis, James M Cox, Democrat, 1252
Saline, James M Cox, Democrat, 1206
Scott, James M Cox, Democrat, 771
Searcy, Warren G Harding, Republican, 1070
Sebastian, James M Cox, Democrat, 3852
Sevier, James M Cox, Democrat, 1236
Sharp, James M Cox, Democrat, 995
Stone, James M Cox, Democrat, 516
Union, James M Cox, Democrat, 1967
Van Buren, Warren G Harding, Republican, 1388
Washington, James M Cox, Democrat, 2637
White, James M Cox, Democrat, 2086
Woodruff, James M Cox, Democrat, 1049
Yell, James M Cox, Democrat, 1925
