#, James M Cox, Democrat, 0
Adair, Warren G Harding, Republican, 3526
Allen, Warren G Harding, Republican, 3476
Anderson, James M Cox, Democrat, 2499
Ballard, James M Cox, Democrat, 3987
Barren, James M Cox, Democrat, 5499
Bath, James M Cox, Democrat, 2440
Bell, Warren G Harding, Republican, 6691
Boone, James M Cox, Democrat, 3472
Bourbon, James M Cox, Democrat, 5452
Boyd, Warren G Harding, Republican, 6334
Boyle, James M Cox, Democrat, 4099
Bracken, James M Cox, Democrat, 2621
Breathitt, James M Cox, Democrat, 2737
Breckinridge, Warren G Harding, Republican, 4368
Bullitt, James M Cox, Democrat, 2548
Butler, Warren G Harding, Republican, 4097
Caldwell, Warren G Harding, Republican, 2958
Calloway, James M Cox, Democrat, 4574
Campbell, Warren G Harding, Republican, 12210
Carlisle, James M Cox, Democrat, 2688
Carroll, James M Cox, Democrat, 3209
Carter, Warren G Harding, Republican, 4595
Casey, Warren G Harding, Republican, 3543
Christian, Warren G Harding, Republican, 8743
Clark, James M Cox, Democrat, 4846
Clay, Warren G Harding, Republican, 4015
Clinton, Warren G Harding, Republican, 2356
Crittenden, Warren G Harding, Republican, 3149
Cumberland, Warren G Harding, Republican, 2380
Daviess, James M Cox, Democrat, 9669
Edmonson, Warren G Harding, Republican, 2348
Elliott, James M Cox, Democrat, 1764
Estill, Warren G Harding, Republican, 2552
Fayette, James M Cox, Democrat, 12926
Fleming, James M Cox, Democrat, 3488
Floyd, James M Cox, Democrat, 3597
Franklin, James M Cox, Democrat, 5878
Fulton, James M Cox, Democrat, 3843
Gallatin, James M Cox, Democrat, 1782
Garrard, Warren G Harding, Republican, 2994
Grant, James M Cox, Democrat, 2686
Graves, James M Cox, Democrat, 9018
Grayson, Warren G Harding, Republican, 4174
Green, Warren G Harding, Republican, 2310
Greenup, Warren G Harding, Republican, 3111
Hancock, Warren G Harding, Republican, 1446
Hardin, James M Cox, Democrat, 5382
Harlan, Warren G Harding, Republican, 7493
Harrison, James M Cox, Democrat, 4804
Hart, Warren G Harding, Republican, 3264
Henderson, James M Cox, Democrat, 7272
Henry, James M Cox, Democrat, 4640
Hickman, James M Cox, Democrat, 3045
Hopkins, James M Cox, Democrat, 7829
Jackson, Warren G Harding, Republican, 3174
Jefferson, Warren G Harding, Republican, 68202
Jessamine, James M Cox, Democrat, 3206
Johnson, Warren G Harding, Republican, 4373
Kenton, James M Cox, Democrat, 16300
Knott, James M Cox, Democrat, 2295
Knox, Warren G Harding, Republican, 5228
Larue, James M Cox, Democrat, 2361
Laurel, Warren G Harding, Republican, 4252
Lawrence, Warren G Harding, Republican, 2849
Lee, Warren G Harding, Republican, 1856
Leslie, Warren G Harding, Republican, 2576
Letcher, Warren G Harding, Republican, 4317
Lewis, Warren G Harding, Republican, 4186
Lincoln, James M Cox, Democrat, 3787
Livingston, James M Cox, Democrat, 1933
Logan, James M Cox, Democrat, 6111
Lyon, James M Cox, Democrat, 1968
Madison, Warren G Harding, Republican, 6012
Magoffin, Warren G Harding, Republican, 2347
Marion, James M Cox, Democrat, 3807
Marshall, James M Cox, Democrat, 3569
Martin, Warren G Harding, Republican, 1726
Mason, James M Cox, Democrat, 4691
McCracken, James M Cox, Democrat, 8496
McCreary, Warren G Harding, Republican, 2889
McLean, James M Cox, Democrat, 2754
Meade, James M Cox, Democrat, 2195
Menifee, James M Cox, Democrat, 1149
Mercer, James M Cox, Democrat, 3623
Metcalfe, Warren G Harding, Republican, 1809
Monroe, Warren G Harding, Republican, 3426
Montgomery, James M Cox, Democrat, 3069
Morgan, James M Cox, Democrat, 3347
Muhlenberg, Warren G Harding, Republican, 6667
Nelson, James M Cox, Democrat, 5061
Nicholas, James M Cox, Democrat, 2953
Ohio, Warren G Harding, Republican, 5371
Oldham, James M Cox, Democrat, 2655
Owen, James M Cox, Democrat, 4623
Owsley, Warren G Harding, Republican, 1914
Pendleton, James M Cox, Democrat, 2598
Perry, Warren G Harding, Republican, 4345
Pike, Warren G Harding, Republican, 7911
Powell, James M Cox, Democrat, 1038
Pulaski, Warren G Harding, Republican, 7262
Robertson, James M Cox, Democrat, 940
Rockcastle, Warren G Harding, Republican, 3561
Rowan, Warren G Harding, Republican, 1564
Russell, Warren G Harding, Republican, 2587
Scott, James M Cox, Democrat, 4993
Shelby, James M Cox, Democrat, 5446
Simpson, James M Cox, Democrat, 3206
Spencer, James M Cox, Democrat, 2135
Taylor, Warren G Harding, Republican, 2493
Todd, James M Cox, Democrat, 3292
Trigg, James M Cox, Democrat, 3056
Trimble, James M Cox, Democrat, 2057
Union, James M Cox, Democrat, 4919
Warren, James M Cox, Democrat, 7010
Washington, Warren G Harding, Republican, 2892
Wayne, Warren G Harding, Republican, 2992
Webster, James M Cox, Democrat, 4831
Whitley, Warren G Harding, Republican, 7235
Wolfe, James M Cox, Democrat, 1476
Woodford, James M Cox, Democrat, 3299
