Moore, James M Cox, Democrat, 101
Morris, James M Cox, Democrat, 669
Motley, James M Cox, Democrat, 345
Nacogdoches, James M Cox, Democrat, 1794
Navarro, James M Cox, Democrat, 3328
Newton, James M Cox, Democrat, 420
Nolan, James M Cox, Democrat, 923
Nueces, James M Cox, Democrat, 1246
Ochiltree, James M Cox, Democrat, 280
Oldham, James M Cox, Democrat, 139
Orange, James M Cox, Democrat, 1055
Palo Pinto, James M Cox, Democrat, 1645
Panola, James M Cox, Democrat, 1086
Parker, James M Cox, Democrat, 1765
Parmer, James M Cox, Democrat, 189
Pecos, Warren G Harding, Republican, 394
Polk, James M Cox, Democrat, 810
Potter, James M Cox, Democrat, 1374
Presidio, James M Cox, Democrat, 238
Rains, James M Cox, Democrat, 462
Randall, James M Cox, Democrat, 360
Reagan, James M Cox, Democrat, 49
Real, James M Cox, Democrat, 177
Red River, James M Cox, Democrat, 2263
Reeves, James M Cox, Democrat, 457
Refugio, Warren G Harding, Republican, 360
Roberts, James M Cox, Democrat, 173
Robertson, James M Cox, Democrat, 1634
Rockwall, James M Cox, Democrat, 873
Runnels, James M Cox, Democrat, 1197
Rusk, James M Cox, Democrat, 1555
Sabine, James M Cox, Democrat, 637
San Augustine, Eugene V Debs, Progressive, 749
San Jacinto, James M Cox, Democrat, 320
San Patricio, James M Cox, Democrat, 620
San Saba, James M Cox, Democrat, 874
Schleicher, James M Cox, Democrat, 211
Scurry, James M Cox, Democrat, 801
Shackelford, James M Cox, Democrat, 342
Shelby, James M Cox, Democrat, 1700
Sherman, James M Cox, Democrat, 170
Smith, James M Cox, Democrat, 2965
Somervell, James M Cox, Democrat, 198
Starr, James M Cox, Democrat, 418
Stephens, James M Cox, Democrat, 643
Sterling, James M Cox, Democrat, 152
Stonewall, James M Cox, Democrat, 356
Sutton, James M Cox, Democrat, 190
Swisher, James M Cox, Democrat, 443
Tarrant, James M Cox, Democrat, 12431
Taylor, James M Cox, Democrat, 1932
Terrell, James M Cox, Democrat, 155
Terry, James M Cox, Democrat, 270
Throckmorton, James M Cox, Democrat, 399
Titus, James M Cox, Democrat, 1094
Tom Green, James M Cox, Democrat, 1264
Travis, James M Cox, Democrat, 3541
Trinity, James M Cox, Democrat, 643
Tyler, James M Cox, Democrat, 1066
Upshur, James M Cox, Democrat, 1222
Upton, James M Cox, Democrat, 46
Uvalde, James M Cox, Democrat, 743
Val Verde, James M Cox, Democrat, 418
Van Zandt, James M Cox, Democrat, 1958
Victoria, Warren G Harding, Republican, 782
Walker, James M Cox, Democrat, 788
Waller, James M Cox, Democrat, 674
Ward, James M Cox, Democrat, 181
