#, Warren G Harding, Republican, 0
Adams, Warren G Harding, Republican, 4144
Allen, Warren G Harding, Republican, 24208
Bartholomew, Warren G Harding, Republican, 6585
Benton, Warren G Harding, Republican, 3900
Blackford, Warren G Harding, Republican, 3145
Boone, Warren G Harding, Republican, 6650
Brown, James M Cox, Democrat, 1316
Carroll, Warren G Harding, Republican, 5006
Cass, Warren G Harding, Republican, 9545
Clark, James M Cox, Democrat, 6729
Clay, Warren G Harding, Republican, 6129
Clinton, Warren G Harding, Republican, 7739
Crawford, Warren G Harding, Republican, 2290
Daviess, Warren G Harding, Republican, 6748
Dearborn, Warren G Harding, Republican, 5159
Decatur, Warren G Harding, Republican, 5516
DeKalb, Warren G Harding, Republican, 6514
Delaware, Warren G Harding, Republican, 14845
Dubois, James M Cox, Democrat, 4238
Elkhart, Warren G Harding, Republican, 12297
Fayette, Warren G Harding, Republican, 4742
Floyd, Warren G Harding, Republican, 7669
Fountain, Warren G Harding, Republican, 5218
Franklin, James M Cox, Democrat, 3671
Fulton, Warren G Harding, Republican, 4618
Gibson, Warren G Harding, Republican, 7498
Grant, Warren G Harding, Republican, 12349
Greene, Warren G Harding, Republican, 7486
Hamilton, Warren G Harding, Republican, 7897
Hancock, James M Cox, Democrat, 4958
Harrison, Warren G Harding, Republican, 4271
Hendricks, Warren G Harding, Republican, 6293
Henry, Warren G Harding, Republican, 8742
Howard, Warren G Harding, Republican, 10379
Huntington, Warren G Harding, Republican, 8100
Jackson, James M Cox, Democrat, 5319
Jasper, Warren G Harding, Republican, 3942
Jay, Warren G Harding, Republican, 6089
Jefferson, Warren G Harding, Republican, 5732
Jennings, Warren G Harding, Republican, 3404
Johnson, James M Cox, Democrat, 5452
Knox, Warren G Harding, Republican, 10011
Kosciusko, Warren G Harding, Republican, 8326
LaGrange, Warren G Harding, Republican, 3852
Lake, Warren G Harding, Republican, 26296
LaPorte, Warren G Harding, Republican, 11204
Lawrence, Warren G Harding, Republican, 6808
Madison, Warren G Harding, Republican, 15704
Marion, Warren G Harding, Republican, 79957
Marshall, Warren G Harding, Republican, 5708
Martin, Warren G Harding, Republican, 2747
Miami, Warren G Harding, Republican, 7336
Monroe, Warren G Harding, Republican, 5633
Montgomery, Warren G Harding, Republican, 8792
Morgan, Warren G Harding, Republican, 5634
Newton, Warren G Harding, Republican, 3129
Noble, Warren G Harding, Republican, 6820
Ohio, Warren G Harding, Republican, 1177
Orange, Warren G Harding, Republican, 4726
Owen, Warren G Harding, Republican, 2997
Parke, Warren G Harding, Republican, 4989
Perry, Warren G Harding, Republican, 3864
Pike, Warren G Harding, Republican, 4069
Porter, Warren G Harding, Republican, 5570
Posey, Warren G Harding, Republican, 4802
Pulaski, Warren G Harding, Republican, 2740
Putnam, James M Cox, Democrat, 5417
Randolph, Warren G Harding, Republican, 8773
Ripley, Warren G Harding, Republican, 5372
Rush, Warren G Harding, Republican, 6113
Scott, James M Cox, Democrat, 1848
Shelby, James M Cox, Democrat, 6845
Spencer, Warren G Harding, Republican, 5270
St. Joseph, Warren G Harding, Republican, 17675
Starke, Warren G Harding, Republican, 2683
Steuben, Warren G Harding, Republican, 4963
Sullivan, James M Cox, Democrat, 6160
Switzerland, Warren G Harding, Republican, 2525
Tippecanoe, Warren G Harding, Republican, 12730
Tipton, Warren G Harding, Republican, 4357
Union, Warren G Harding, Republican, 1984
Vanderburgh, Warren G Harding, Republican, 19357
Vermillion, Warren G Harding, Republican, 4916
Vigo, Warren G Harding, Republican, 18668
Wabash, Warren G Harding, Republican, 8018
Warren, Warren G Harding, Republican, 3337
Warrick, Warren G Harding, Republican, 4675
Washington, James M Cox, Democrat, 4157
Wayne, Warren G Harding, Republican, 12631
Wells, James M Cox, Democrat, 4653
White, Warren G Harding, Republican, 4871
Whitley, Warren G Harding, Republican, 4530
