#, Warren G Harding, Republican, 0
Barbour, Warren G Harding, Republican, 3763
Berkeley, Warren G Harding, Republican, 5259
Boone, Warren G Harding, Republican, 2674
Braxton, Warren G Harding, Republican, 4274
Brooke, Warren G Harding, Republican, 3060
Cabell, Warren G Harding, Republican, 13170
Calhoun, James M Cox, Democrat, 1773
Clay, Warren G Harding, Republican, 1981
Doddridge, Warren G Harding, Republican, 3135
Fayette, Warren G Harding, Republican, 10561
Gilmer, James M Cox, Democrat, 1854
Grant, Warren G Harding, Republican, 2417
Greenbrier, James M Cox, Democrat, 4994
Hampshire, James M Cox, Democrat, 2221
Hancock, Warren G Harding, Republican, 2768
Hardy, James M Cox, Democrat, 2014
Harrison, Warren G Harding, Republican, 13784
Jackson, Warren G Harding, Republican, 4330
Jefferson, James M Cox, Democrat, 3944
Kanawha, Warren G Harding, Republican, 23781
Lewis, Warren G Harding, Republican, 4618
Lincoln, Warren G Harding, Republican, 3339
Logan, James M Cox, Democrat, 5588
Marion, Warren G Harding, Republican, 11494
Marshall, Warren G Harding, Republican, 7208
Mason, Warren G Harding, Republican, 4912
McDowell, Warren G Harding, Republican, 12198
Mercer, Warren G Harding, Republican, 8613
Mineral, Warren G Harding, Republican, 3646
Mingo, James M Cox, Democrat, 4934
Monongalia, Warren G Harding, Republican, 6773
Monroe, Warren G Harding, Republican, 3001
Morgan, Warren G Harding, Republican, 1817
Nicholas, Warren G Harding, Republican, 3691
Ohio, Warren G Harding, Republican, 15735
Pendleton, James M Cox, Democrat, 1814
Pleasants, Warren G Harding, Republican, 1657
Pocahontas, Warren G Harding, Republican, 2836
Preston, Warren G Harding, Republican, 6729
Putnam, Warren G Harding, Republican, 3223
Raleigh, Warren G Harding, Republican, 7668
Randolph, James M Cox, Democrat, 4676
Ritchie, Warren G Harding, Republican, 4377
Roane, Warren G Harding, Republican, 4232
Summers, Warren G Harding, Republican, 3611
Taylor, Warren G Harding, Republican, 3649
Tucker, Warren G Harding, Republican, 2498
Tyler, Warren G Harding, Republican, 3654
Upshur, Warren G Harding, Republican, 4936
Wayne, James M Cox, Democrat, 4490
Webster, James M Cox, Democrat, 1942
Wetzel, James M Cox, Democrat, 4103
Wirt, Warren G Harding, Republican, 1680
Wood, Warren G Harding, Republican, 10463
Wyoming, Warren G Harding, Republican, 2950
