Bristol, Barack Obama, Democrat, 62.39
Kent, Barack Obama, Democrat, 57.58
Newport, Barack Obama, Democrat, 60.67
Providence, Barack Obama, Democrat, 66.02
Washington, Barack Obama, Democrat, 59.07
Federal Precinct, Barack Obama, Democrat, NaN, John Mccain, Republican, NaN, John Mccain, Republican, NaN
Federal Precinct, John Mccain, Republican, NaN, Other, Other, NaN, Other, Other, NaN
Federal Precinct, Mitt Romney, Republican, 72.62
