Adair, John Mccain, Republican, 75.53
Allen, John Mccain, Republican, 71.15
Anderson, John Mccain, Republican, 65.25
Ballard, John Mccain, Republican, 62.49
Barren, John Mccain, Republican, 66.24
Bath, John Mccain, Republican, 49.17
Bell, John Mccain, Republican, 69.61
Boone, John Mccain, Republican, 66.59
Bourbon, John Mccain, Republican, 57.86
Boyd, John Mccain, Republican, 55.3
Boyle, John Mccain, Republican, 60.95
Bracken, John Mccain, Republican, 60.78
Breathitt, John Mccain, Republican, 53.1
Breckinridge, John Mccain, Republican, 61.97
Bullitt, John Mccain, Republican, 65.42
Butler, John Mccain, Republican, 69.64
Caldwell, John Mccain, Republican, 62.36
Calloway, John Mccain, Republican, 58.37
Campbell, John Mccain, Republican, 59.67
Carlisle, John Mccain, Republican, 64.92
Carroll, John Mccain, Republican, 52.99
Carter, John Mccain, Republican, 53.52
Casey, John Mccain, Republican, 78.55
Christian, John Mccain, Republican, 60.14
Clark, John Mccain, Republican, 61.84
Clay, John Mccain, Republican, 77.54
Clinton, John Mccain, Republican, 80.68
Crittenden, John Mccain, Republican, 66.26
Cumberland, John Mccain, Republican, 73.51
Daviess, John Mccain, Republican, 54.31
Edmonson, John Mccain, Republican, 67.59
Elliott, Barack Obama, Democrat, 61.03
Estill, John Mccain, Republican, 69.35
Fayette, Barack Obama, Democrat, 51.74
Fleming, John Mccain, Republican, 58.85
Floyd, John Mccain, Republican, 49.43
Franklin, John Mccain, Republican, 49.47
Fulton, John Mccain, Republican, 54.16
Gallatin, John Mccain, Republican, 57.63
Garrard, John Mccain, Republican, 70.98
Grant, John Mccain, Republican, 62.94
Graves, John Mccain, Republican, 62.25
Grayson, John Mccain, Republican, 66.7
Green, John Mccain, Republican, 74.52
Greenup, John Mccain, Republican, 56.01
Hancock, Barack Obama, Democrat, 51.52
Hardin, John Mccain, Republican, 59.75
Harlan, John Mccain, Republican, 72.27
Harrison, John Mccain, Republican, 59.55
Hart, John Mccain, Republican, 64.49
Henderson, Barack Obama, Democrat, 50.6
Henry, John Mccain, Republican, 58.98
Hickman, John Mccain, Republican, 62.49
Hopkins, John Mccain, Republican, 61.59
Jackson, John Mccain, Republican, 84.36
Jefferson, Barack Obama, Democrat, 55.51
Jessamine, John Mccain, Republican, 67.83
Johnson, John Mccain, Republican, 69.84
Kenton, John Mccain, Republican, 59.69
Knott, John Mccain, Republican, 52.75
Knox, John Mccain, Republican, 71.56
Larue, John Mccain, Republican, 67.22
Laurel, John Mccain, Republican, 78.49
Lawrence, John Mccain, Republican, 62.01
Lee, John Mccain, Republican, 71.33
Leslie, John Mccain, Republican, 81.28
Letcher, John Mccain, Republican, 65.17
Lewis, John Mccain, Republican, 67.06
Lincoln, John Mccain, Republican, 68.55
Livingston, John Mccain, Republican, 62.92
Logan, John Mccain, Republican, 63.59
Lyon, John Mccain, Republican, 57.59
Mccracken, John Mccain, Republican, 61.92
Mccreary, John Mccain, Republican, 75.42
Mclean, John Mccain, Republican, 53.96
Madison, John Mccain, Republican, 60.53
Magoffin, John Mccain, Republican, 52.33
Marion, John Mccain, Republican, 50.45
Marshall, John Mccain, Republican, 61.42
Martin, John Mccain, Republican, 76.49
Mason, John Mccain, Republican, 57.6
Meade, John Mccain, Republican, 59.71
Menifee, Barack Obama, Democrat, 51.27
Mercer, John Mccain, Republican, 67.41
Metcalfe, John Mccain, Republican, 65.11
Monroe, John Mccain, Republican, 75.82
Montgomery, John Mccain, Republican, 57.56
Morgan, John Mccain, Republican, 54.72
Muhlenberg, John Mccain, Republican, 50.02
Nelson, John Mccain, Republican, 55.87
Nicholas, John Mccain, Republican, 55.02
Ohio, John Mccain, Republican, 57.22
Oldham, John Mccain, Republican, 64.8
Owen, John Mccain, Republican, 62.49
Owsley, John Mccain, Republican, 75.86
Pendleton, John Mccain, Republican, 63.36
Perry, John Mccain, Republican, 65.18
Pike, John Mccain, Republican, 55.89
Powell, John Mccain, Republican, 57.06
Pulaski, John Mccain, Republican, 77.09
Robertson, John Mccain, Republican, 52.51
Rockcastle, John Mccain, Republican, 75.82
Rowan, Barack Obama, Democrat, 49.96
Russell, John Mccain, Republican, 77.31
Scott, John Mccain, Republican, 59.72
Shelby, John Mccain, Republican, 61.76
Simpson, John Mccain, Republican, 60.71
Spencer, John Mccain, Republican, 66.82
Taylor, John Mccain, Republican, 69.69
Todd, John Mccain, Republican, 67.52
Trigg, John Mccain, Republican, 64.18
Trimble, John Mccain, Republican, 58.74
Union, John Mccain, Republican, 51.71
Warren, John Mccain, Republican, 58.88
Washington, John Mccain, Republican, 62.65
Wayne, John Mccain, Republican, 67.65
Webster, John Mccain, Republican, 54.82
Whitley, John Mccain, Republican, 73.08
Wolfe, Barack Obama, Democrat, 50.3
Woodford, John Mccain, Republican, 57.98
