Aitkin, Barack Obama, Democrat, 48.83
Anoka, John Mccain, Republican, 50.13
Becker, John Mccain, Republican, 52.17
Beltrami, Barack Obama, Democrat, 54.05
Benton, John Mccain, Republican, 53.46
Big Stone, Barack Obama, Democrat, 51.91
Blue Earth, Barack Obama, Democrat, 55.1
Brown, John Mccain, Republican, 54.74
Carlton, Barack Obama, Democrat, 62.34
Carver, John Mccain, Republican, 56.67
Cass, John Mccain, Republican, 53.11
Chippewa, Barack Obama, Democrat, 51.6
Chisago, John Mccain, Republican, 53.88
Clay, Barack Obama, Democrat, 56.96
Clearwater, John Mccain, Republican, 53.77
Cook, Barack Obama, Democrat, 60.3
Cottonwood, John Mccain, Republican, 52.3
Crow Wing, John Mccain, Republican, 52.8
Dakota, Barack Obama, Democrat, 51.79
Dodge, John Mccain, Republican, 53.54
Douglas, John Mccain, Republican, 53.74
Faribault, John Mccain, Republican, 51.47
Fillmore, Barack Obama, Democrat, 52.71
Freeborn, Barack Obama, Democrat, 57.38
Goodhue, John Mccain, Republican, 49.53
Grant, Barack Obama, Democrat, 51.32
Hennepin, Barack Obama, Democrat, 63.42
Houston, Barack Obama, Democrat, 54.27
Hubbard, John Mccain, Republican, 56.35
Isanti, John Mccain, Republican, 56.47
Itasca, Barack Obama, Democrat, 55.18
Jackson, John Mccain, Republican, 50.83
Kanabec, John Mccain, Republican, 52.7
Kandiyohi, John Mccain, Republican, 51.7
Kittson, Barack Obama, Democrat, 58.1
Koochiching, Barack Obama, Democrat, 53.65
Lac Qui Parle, Barack Obama, Democrat, 51.53
Lake, Barack Obama, Democrat, 59.89
Lake Of The Woods, John Mccain, Republican, 55.25
Le Sueur, John Mccain, Republican, 50.88
Lincoln, Barack Obama, Democrat, 48.53
Lyon, John Mccain, Republican, 49.69
Mcleod, John Mccain, Republican, 57.77
Mahnomen, Barack Obama, Democrat, 61.29
Marshall, Barack Obama, Democrat, 48.77
Martin, John Mccain, Republican, 56.29
Meeker, John Mccain, Republican, 53.7
Mille Lacs, John Mccain, Republican, 52.05
Morrison, John Mccain, Republican, 58.14
Mower, Barack Obama, Democrat, 60.48
Murray, Barack Obama, Democrat, 48.72
Nicollet, Barack Obama, Democrat, 54.19
Nobles, John Mccain, Republican, 49.56
Norman, Barack Obama, Democrat, 62
Olmsted, Barack Obama, Democrat, 50.62
Otter Tail, John Mccain, Republican, 55.3
Pennington, Barack Obama, Democrat, 49.75
Pine, Barack Obama, Democrat, 49.25
Pipestone, John Mccain, Republican, 55.24
Polk, Barack Obama, Democrat, 51.19
Pope, Barack Obama, Democrat, 50.75
Ramsey, Barack Obama, Democrat, 65.96
Red Lake, Barack Obama, Democrat, 51.12
Redwood, John Mccain, Republican, 55.19
Renville, John Mccain, Republican, 48.63
Rice, Barack Obama, Democrat, 54.66
Rock, John Mccain, Republican, 55.78
Roseau, John Mccain, Republican, 57.64
Saint Louis, Barack Obama, Democrat, 65.1
Scott, John Mccain, Republican, 54.7
Sherburne, John Mccain, Republican, 58.1
Sibley, John Mccain, Republican, 58.12
Stearns, John Mccain, Republican, 52.31
Steele, John Mccain, Republican, 51.22
Stevens, Barack Obama, Democrat, 49.36
Swift, Barack Obama, Democrat, 55.43
Todd, John Mccain, Republican, 54.15
Traverse, Barack Obama, Democrat, 51.25
Wabasha, John Mccain, Republican, 49.9
Wadena, John Mccain, Republican, 57.58
Waseca, John Mccain, Republican, 52.7
Washington, Barack Obama, Democrat, 51.27
Watonwan, Barack Obama, Democrat, 48.73
Wilkin, John Mccain, Republican, 52.31
Winona, Barack Obama, Democrat, 58.38
Wright, John Mccain, Republican, 57.61
Yellow Medicine, Barack Obama, Democrat, 50.57
