#, Calvin Coolidge, Republican, 0
Adams, Robert M La Follette, Progressive, 1724
Ashland, Robert M La Follette, Progressive, 4204
Barron, Robert M La Follette, Progressive, 6010
Bayfield, Robert M La Follette, Progressive, 2601
Brown, Robert M La Follette, Progressive, 10024
Buffalo, Robert M La Follette, Progressive, 2474
Burnett, Robert M La Follette, Progressive, 2088
Calumet, Robert M La Follette, Progressive, 3503
Chippewa, Robert M La Follette, Progressive, 6517
Clark, Robert M La Follette, Progressive, 6208
Columbia, Robert M La Follette, Progressive, 5968
Crawford, Robert M La Follette, Progressive, 2977
Dane, Robert M La Follette, Progressive, 24595
Dodge, Robert M La Follette, Progressive, 9610
Door, Robert M La Follette, Progressive, 2715
Douglas, Robert M La Follette, Progressive, 8255
Dunn, Robert M La Follette, Progressive, 4385
Eau Claire, Robert M La Follette, Progressive, 5222
Florence, Calvin Coolidge, Republican, 594
Fond du Lac, Robert M La Follette, Progressive, 9576
Forest, Robert M La Follette, Progressive, 1259
Grant, Robert M La Follette, Progressive, 6825
Green, Robert M La Follette, Progressive, 4885
Green Lake, Robert M La Follette, Progressive, 2187
Iowa, Robert M La Follette, Progressive, 4133
Iron, Robert M La Follette, Progressive, 1400
Jackson, Robert M La Follette, Progressive, 3167
Jefferson, Robert M La Follette, Progressive, 7885
Juneau, Robert M La Follette, Progressive, 3785
Kenosha, Calvin Coolidge, Republican, 10341
Kewaunee, Robert M La Follette, Progressive, 2804
La Crosse, Robert M La Follette, Progressive, 10543
Lafayette, Robert M La Follette, Progressive, 3681
Langlade, Robert M La Follette, Progressive, 3578
Lincoln, Robert M La Follette, Progressive, 4465
Manitowoc, Robert M La Follette, Progressive, 9814
Marathon, Robert M La Follette, Progressive, 12193
Marinette, Calvin Coolidge, Republican, 4911
Marquette, Robert M La Follette, Progressive, 1820
Milwaukee, Robert M La Follette, Progressive, 81697
Monroe, Robert M La Follette, Progressive, 6747
Oconto, Robert M La Follette, Progressive, 4506
Oneida, Robert M La Follette, Progressive, 3196
Outagamie, Robert M La Follette, Progressive, 10357
Ozaukee, Robert M La Follette, Progressive, 3264
Pepin, Calvin Coolidge, Republican, 1226
Pierce, Robert M La Follette, Progressive, 3661
Polk, Robert M La Follette, Progressive, 4251
Portage, Robert M La Follette, Progressive, 5347
Price, Robert M La Follette, Progressive, 3151
Racine, Calvin Coolidge, Republican, 13040
Richland, Calvin Coolidge, Republican, 2669
Rock, Calvin Coolidge, Republican, 14815
Rusk, Robert M La Follette, Progressive, 2677
St. Croix, Robert M La Follette, Progressive, 4693
Sauk, Robert M La Follette, Progressive, 6400
Sawyer, Robert M La Follette, Progressive, 1487
Shawano, Robert M La Follette, Progressive, 6337
Sheboygan, Robert M La Follette, Progressive, 11714
Taylor, Robert M La Follette, Progressive, 3079
Trempealeau, Robert M La Follette, Progressive, 4148
Vernon, Robert M La Follette, Progressive, 5599
Vilas, Robert M La Follette, Progressive, 1038
Walworth, Calvin Coolidge, Republican, 7484
Washburn, Robert M La Follette, Progressive, 2043
Washington, Robert M La Follette, Progressive, 5081
Waukesha, Calvin Coolidge, Republican, 7026
Waupaca, Robert M La Follette, Progressive, 6395
Waushara, Robert M La Follette, Progressive, 2606
Winnebago, Calvin Coolidge, Republican, 11239
Wood, Robert M La Follette, Progressive, 7303
