#, Calvin Coolidge, Republican, 0
Beaverhead, Robert M La Follette, Progressive, NaN
Big Horn, Calvin Coolidge, Republican, 1082
Blaine, Calvin Coolidge, Republican, 827
Broadwater, Robert M La Follette, Progressive, NaN
Carbon, Calvin Coolidge, Republican, 1891
Carter, Calvin Coolidge, Republican, 669
Cascade, Calvin Coolidge, Republican, 5081
Chouteau, Calvin Coolidge, Republican, 1347
Custer, Robert M La Follette, Progressive, 1707
Daniels, Robert M La Follette, Progressive, 740
Dawson, Calvin Coolidge, Republican, 1326
Deer Lodge, Calvin Coolidge, Republican, 1937
Fallon, Calvin Coolidge, Republican, 731
Fergus, Robert M La Follette, Progressive, 3119
Flathead, Calvin Coolidge, Republican, 2541
Gallatin, Calvin Coolidge, Republican, 2494
Garfield, Calvin Coolidge, Republican, 876
Glacier, Robert M La Follette, Progressive, NaN
Golden Valley, Robert M La Follette, Progressive, 573
Granite, Calvin Coolidge, Republican, 582
Hill, Robert M La Follette, Progressive, 1906
Jefferson, Robert M La Follette, Progressive, 689
Judith Basin, Calvin Coolidge, Republican, 888
Lake, Robert M La Follette, Progressive, 1932
Lewis and Clark, Robert M La Follette, Progressive, NaN
Liberty, Robert M La Follette, Progressive, 329
Lincoln, Robert M La Follette, Progressive, 1030
McCone, Robert M La Follette, Progressive, 651
Madison, Robert M La Follette, Progressive, NaN
Meagher, Robert M La Follette, Progressive, NaN
Mineral, Robert M La Follette, Progressive, 686
Missoula, Robert M La Follette, Progressive, 4704
Musselshell, Robert M La Follette, Progressive, 1512
Park, Calvin Coolidge, Republican, 2199
Phillips, Calvin Coolidge, Republican, 1236
Pondera, Robert M La Follette, Progressive, 849
Powder River, Calvin Coolidge, Republican, 480
Powell, Calvin Coolidge, Republican, 982
Prairie, Calvin Coolidge, Republican, 683
Ravalli, Robert M La Follette, Progressive, 1594
Richland, Calvin Coolidge, Republican, 926
Roosevelt, Robert M La Follette, Progressive, 1110
Rosebud, Calvin Coolidge, Republican, 1115
Sanders, Robert M La Follette, Progressive, 1275
Sheridan, Robert M La Follette, Progressive, 1464
Silver Bow, Robert M La Follette, Progressive, 6813
Stillwater, Calvin Coolidge, Republican, 1412
Sweet Grass, Calvin Coolidge, Republican, 853
Teton, Calvin Coolidge, Republican, 775
Toole, Robert M La Follette, Progressive, 720
Treasure, Calvin Coolidge, Republican, 289
Valley, Calvin Coolidge, Republican, 1555
Wheatland, Calvin Coolidge, Republican, 723
Wibaux, Calvin Coolidge, Republican, 505
Yellowstone, Calvin Coolidge, Republican, 4715
