#, Calvin Coolidge, Republican, 0
Atlantic, Calvin Coolidge, Republican, 27936
Bergen, Calvin Coolidge, Republican, 60803
Burlington, Calvin Coolidge, Republican, 21617
Camden, Calvin Coolidge, Republican, 48154
Cape May, Calvin Coolidge, Republican, 8139
Cumberland, Calvin Coolidge, Republican, 15691
Essex, Calvin Coolidge, Republican, 123614
Gloucester, Calvin Coolidge, Republican, 15513
Hudson, John W Davis, Democrat, 91094
Hunterdon, Calvin Coolidge, Republican, 8940
Mercer, Calvin Coolidge, Republican, 30689
Middlesex, Calvin Coolidge, Republican, 34556
Monmouth, Calvin Coolidge, Republican, 34451
Morris, Calvin Coolidge, Republican, 24812
Ocean, Calvin Coolidge, Republican, 8677
Passaic, Robert M La Follette, Progressive, NaN
Salem, Calvin Coolidge, Republican, 8027
Somerset, Calvin Coolidge, Republican, 12986
Sussex, Calvin Coolidge, Republican, 6319
Union, Calvin Coolidge, Republican, 50356
Warren, Calvin Coolidge, Republican, 9606
