#, Calvin Coolidge, Republican, 0
Barbour, Calvin Coolidge, Republican, 3347
Berkeley, Calvin Coolidge, Republican, 5427
Boone, John W Davis, Democrat, 3326
Braxton, John W Davis, Democrat, 5168
Brooke, Calvin Coolidge, Republican, 3858
Cabell, John W Davis, Democrat, 16211
Calhoun, John W Davis, Democrat, 2231
Clay, John W Davis, Democrat, 2037
Doddridge, Calvin Coolidge, Republican, 2777
Fayette, Calvin Coolidge, Republican, 10555
Gilmer, John W Davis, Democrat, 2750
Grant, Calvin Coolidge, Republican, 2344
Greenbrier, John W Davis, Democrat, 6048
Hampshire, John W Davis, Democrat, 2993
Hancock, Calvin Coolidge, Republican, 3775
Hardy, John W Davis, Democrat, 2442
Harrison, Calvin Coolidge, Republican, 15165
Jackson, Calvin Coolidge, Republican, 3739
Jefferson, John W Davis, Democrat, 4368
Kanawha, Calvin Coolidge, Republican, 26018
Lewis, Calvin Coolidge, Republican, 4839
Lincoln, John W Davis, Democrat, 3355
Logan, John W Davis, Democrat, 7377
Marion, Calvin Coolidge, Republican, 12167
Marshall, Calvin Coolidge, Republican, 7413
Mason, Calvin Coolidge, Republican, 4225
McDowell, Calvin Coolidge, Republican, 12422
Mercer, John W Davis, Democrat, 10058
Mineral, Calvin Coolidge, Republican, 3551
Mingo, John W Davis, Democrat, 5313
Monongalia, Calvin Coolidge, Republican, 6994
Monroe, Calvin Coolidge, Republican, 2713
Morgan, Calvin Coolidge, Republican, 1883
Nicholas, John W Davis, Democrat, 3956
Ohio, Calvin Coolidge, Republican, 14402
Pendleton, John W Davis, Democrat, 2037
Pleasants, John W Davis, Democrat, 1675
Pocahontas, Calvin Coolidge, Republican, 2782
Preston, Calvin Coolidge, Republican, 6396
Putnam, John W Davis, Democrat, 2946
Raleigh, Calvin Coolidge, Republican, 8643
Randolph, John W Davis, Democrat, 5314
Ritchie, Calvin Coolidge, Republican, 4152
Roane, Calvin Coolidge, Republican, 4097
Summers, John W Davis, Democrat, 3998
Taylor, Calvin Coolidge, Republican, 3683
Tucker, Calvin Coolidge, Republican, 2277
Tyler, Calvin Coolidge, Republican, 3425
Upshur, Calvin Coolidge, Republican, 4930
Wayne, John W Davis, Democrat, 5870
Webster, John W Davis, Democrat, 2523
Wetzel, John W Davis, Democrat, 4998
Wirt, John W Davis, Democrat, 1587
Wood, Calvin Coolidge, Republican, 10086
Wyoming, Calvin Coolidge, Republican, 3327
