#, John W Davis, Democrat, 0
McCulloch, John W Davis, Democrat, 1327
McLennan, John W Davis, Democrat, 7882
McMullen, Calvin Coolidge, Republican, 111
Medina, John W Davis, Democrat, 986
Menard, John W Davis, Democrat, 304
Midland, John W Davis, Democrat, 399
Milam, John W Davis, Democrat, 5087
Mills, John W Davis, Democrat, 1289
Mitchell, John W Davis, Democrat, 1242
Montague, John W Davis, Democrat, 2236
Montgomery, John W Davis, Democrat, 1500
Moore, John W Davis, Democrat, 82
Morris&#91;c&#93;, John W Davis, Democrat, 964
Motley, John W Davis, Democrat, 453
Nacogdoches, John W Davis, Democrat, 3418
Navarro, John W Davis, Democrat, 6408
Newton, John W Davis, Democrat, 782
Nolan, John W Davis, Democrat, 1421
Nueces&#91;c&#93;, John W Davis, Democrat, 3214
Ochiltree, John W Davis, Democrat, 352
Oldham, John W Davis, Democrat, 187
Orange, John W Davis, Democrat, 1385
Palo Pinto, John W Davis, Democrat, 1926
Panola, John W Davis, Democrat, 2088
Parker, John W Davis, Democrat, 2391
Parmer, John W Davis, Democrat, 214
Pecos, John W Davis, Democrat, 440
Polk, John W Davis, Democrat, 1839
Potter, John W Davis, Democrat, 2394
Presidio, John W Davis, Democrat, 267
Rains, John W Davis, Democrat, 899
Randall, John W Davis, Democrat, 627
Reagan, John W Davis, Democrat, 111
Real, Calvin Coolidge, Republican, 300
Red River, John W Davis, Democrat, 3183
Reeves, John W Davis, Democrat, 387
Refugio, John W Davis, Democrat, 585
Roberts, John W Davis, Democrat, 241
Robertson, John W Davis, Democrat, 1487
Rockwall, John W Davis, Democrat, 1371
Runnels, John W Davis, Democrat, 2564
Rusk, John W Davis, Democrat, 3097
Sabine, John W Davis, Democrat, 1150
San Augustine&#91;c&#93;, John W Davis, Democrat, 1475
San Jacinto, John W Davis, Democrat, 585
San Patricio, John W Davis, Democrat, 1197
San Saba, John W Davis, Democrat, 1814
Schleicher, John W Davis, Democrat, 246
Scurry, John W Davis, Democrat, 1292
Shackelford, John W Davis, Democrat, 729
Shelby, John W Davis, Democrat, 3408
Sherman, John W Davis, Democrat, 188
Smith, John W Davis, Democrat, 4473
Somervell, John W Davis, Democrat, 403
Starr, John W Davis, Democrat, 756
Stephens, John W Davis, Democrat, 2184
Sterling, John W Davis, Democrat, 243
Stonewall, John W Davis, Democrat, 778
Sutton, John W Davis, Democrat, 143
Swisher, John W Davis, Democrat, 573
Tarrant, John W Davis, Democrat, 13673
Taylor, John W Davis, Democrat, 3157
Terrell, Calvin Coolidge, Republican, 122
Terry, John W Davis, Democrat, 823
Throckmorton, John W Davis, Democrat, 539
Titus&#91;c&#93;, John W Davis, Democrat, 1589
Tom Green, John W Davis, Democrat, 2116
Travis, John W Davis, Democrat, 7573
Trinity, John W Davis, Democrat, 1504
Tyler, John W Davis, Democrat, 929
Upshur, John W Davis, Democrat, 2611
Upton, John W Davis, Democrat, 35
Uvalde, John W Davis, Democrat, 1312
