#, Calvin Coolidge, Republican, 0
Addison, Calvin Coolidge, Republican, 4927
Bennington, Calvin Coolidge, Republican, 5341
Caledonia, Calvin Coolidge, Republican, 6205
Chittenden, Calvin Coolidge, Republican, 8008
Essex, Calvin Coolidge, Republican, 1391
Franklin, Calvin Coolidge, Republican, 4594
Grand Isle, Calvin Coolidge, Republican, 861
Lamoille, Calvin Coolidge, Republican, 2480
Orange, Calvin Coolidge, Republican, 4657
Orleans, Calvin Coolidge, Republican, 5006
Rutland, Calvin Coolidge, Republican, 10642
Washington, Calvin Coolidge, Republican, 8525
Windham, Calvin Coolidge, Republican, 7638
Windsor, Calvin Coolidge, Republican, 10223
