Apache, Joseph R Biden Jr, Democrat, 46.8
Cochise, Joseph R Biden Jr, Democrat, 35.68
Coconino, Joseph R Biden Jr, Democrat, 53.81
Gila, Joseph R Biden Jr, Democrat, 27.04
Graham, Joseph R Biden Jr, Democrat, 19.63
Greenlee, Joseph R Biden Jr, Democrat, 27.03
La Paz, Joseph R Biden Jr, Democrat, 20.22
Maricopa, Joseph R Biden Jr, Democrat, 47.31
Mohave, Joseph R Biden Jr, Democrat, 20.81
Navajo, Joseph R Biden Jr, Democrat, 32.58
Pima, Joseph R Biden Jr, Democrat, 54.28
Pinal, Joseph R Biden Jr, Democrat, 35.16
Santa Cruz, Joseph R Biden Jr, Democrat, 55.53
Yavapai, Joseph R Biden Jr, Democrat, 32.72
Yuma, Joseph R Biden Jr, Democrat, 40.26
