Bristol, Joseph R Biden Jr, Democrat, 54.51
Newport, Joseph R Biden Jr, Democrat, 63.89
Providence, Joseph R Biden Jr, Democrat, 60.52
Federal Precinct, Joseph R Biden Jr, Democrat, 92.87
